22-08-2023 20:07:24;0.001;32;1;0.8;Adam;loss.py;;0.049991505266734626; 0.30150849087202297; 6.209700213133216
22-08-2023 20:25:03;0.01;1;1;0.0;Adam;loss.py;;0.004815707595756656; 0.12398190525745718; 14.760180947425429




22-08-2023 20:42:46;0.01;1;1;0.1;Adam;loss.py;;0.0016247039959223115; 0.10435802954200338; 18.01572140043113
22-08-2023 21:01:07;0.01;1;1;0.2;Adam;loss.py;;0.025591742680867783; 0.2476240031432182; 10.536932813711227

Neue, alte Loss Funktion

Loader korrigiert

23-08-2023 08:44:01;0.0001;1;10;0.0;Adam;loss_fn;;0.037037037037037035; 0.18518518518518517; 10.481481481481481
